Value	Description
0	Number of Homozygous Reference Calls
42574032	Total Number of Calls (Hom Ref + Hom Alt + Het)
NA	Percent Heterozygote Calls
0	numberOfHets
0	Number of Homozygous Variant Calls
NA	Largest Gap Between Heterozygotes on Chromosome 1
NA	Largest Gap Between Heterozygotes on Chromosome 2
NA	Largest Gap Between Heterozygotes on Chromosome 3
NA	Largest Gap Between Heterozygotes on Chromosome 4
NA	Largest Gap Between Heterozygotes on Chromosome 5
NA	Largest Gap Between Heterozygotes on Chromosome 6
NA	Largest Gap Between Heterozygotes on Chromosome 7
NA	Largest Gap Between Heterozygotes on Chromosome 8
NA	Largest Gap Between Heterozygotes on Chromosome 9
NA	Largest Gap Between Heterozygotes on Chromosome 10
NA	Largest Gap Between Heterozygotes on Chromosome 11
NA	Largest Gap Between Heterozygotes on Chromosome 12
NA	Largest Gap Between Heterozygotes on Chromosome 13
NA	Largest Gap Between Heterozygotes on Chromosome 14
NA	Largest Gap Between Heterozygotes on Chromosome 15
NA	Largest Gap Between Heterozygotes on Chromosome 16
NA	Largest Gap Between Heterozygotes on Chromosome 17
NA	Largest Gap Between Heterozygotes on Chromosome 18
NA	Largest Gap Between Heterozygotes on Chromosome 19
NA	Largest Gap Between Heterozygotes on Chromosome 20
NA	Largest Gap Between Heterozygotes on Chromosome 21
NA	Largest Gap Between Heterozygotes on Chromosome 22
NA	Largest Gap Between Heterozygotes on Chromosome X
42574032	Number of Multi Calls
0	X Heterozygosity
