Sample Status	Description
Pass	Largest Gap Between Heterozygotes on Chromosome 2
Pass	Largest Gap Between Heterozygotes on Chromosome 3
Pass	Largest Gap Between Heterozygotes on Chromosome 4
Pass	Largest Gap Between Heterozygotes on Chromosome 5
Pass	Largest Gap Between Heterozygotes on Chromosome 6
Pass	Largest Gap Between Heterozygotes on Chromosome 7
Pass	Largest Gap Between Heterozygotes on Chromosome 8
Pass	Largest Gap Between Heterozygotes on Chromosome 9
Pass	Largest Gap Between Heterozygotes on Chromosome 10
Pass	Largest Gap Between Heterozygotes on Chromosome 11
Pass	Largest Gap Between Heterozygotes on Chromosome 12
Pass	Largest Gap Between Heterozygotes on Chromosome 13
Pass	Largest Gap Between Heterozygotes on Chromosome 14
Pass	Largest Gap Between Heterozygotes on Chromosome 15
Pass	Largest Gap Between Heterozygotes on Chromosome 16
Pass	Largest Gap Between Heterozygotes on Chromosome 17
Pass	Largest Gap Between Heterozygotes on Chromosome 18
Pass	Largest Gap Between Heterozygotes on Chromosome 19
Pass	Largest Gap Between Heterozygotes on Chromosome 20
Pass	Largest Gap Between Heterozygotes on Chromosome 21
Pass	Largest Gap Between Heterozygotes on Chromosome 22
Pass	Largest Gap Between Heterozygotes on Chromosome X
Pass	Number of Multi Calls
Pass	X Heterozygosity
